??	??	UP?	??	av	BV	??	????	????	???	??	??	???	??
?Hi-Res?????/???-??????????? ????????????	"?????????????????????????????????????????????“??????”???2017?5????

??????????????????"	???????	??	av116496810377471	BV1QRRKB3ELm	https://www.bilibili.com/video/BV1QRRKB3ELm	20/5/2026 15:11	1/5/2026 10:01	336	90474	17	1413	http://i2.hdslb.com/bfs/archive/56ed2edd62a2b2281145ab7b30cefa54304c3358.jpg
??????·????????????????	?? ?????? ????????????????????	?????	??	av2309152	BV1ys411D7vJ	https://www.bilibili.com/video/BV1ys411D7vJ	18/5/2026 20:34	10/5/2015 4:31	267	2161	122	63	http://i1.hdslb.com/bfs/archive/3f56eaa3e1815fb15359031217d8f59d7c45747c.png
?????????-Winky?|???????????????	"???
??:Winky?
??:???
??:Winky?
??:Winky?"	?????	??	av664862121	BV15a4y1r7Sg	https://www.bilibili.com/video/BV15a4y1r7Sg	18/5/2026 20:26	15/12/2023 21:12	235	61509	6	331	http://i2.hdslb.com/bfs/archive/221eae2f08c1a862f6b8052a546334e3454fa370.jpg
????????????(???)|“???????????? ??????”	"?? - ??
?????
????????????

	????????????????????????????????????????????
	?????????????????????????????????????????????????????????????"	?????	??	av877699141	BV1gN4y1z73s	https://www.bilibili.com/video/BV1gN4y1z73s	18/5/2026 20:14	24/12/2023 0:11	235	59881	49	472	http://i0.hdslb.com/bfs/archive/ee4d57d85058668dd2eb9c0bbe8aee2f2a25f514.jpg
?????????-?????????????? ???????????	"?? : Zzz_??
?? : ???
?? : ???
???????????"	?????	??	av794125995	BV1iC4y1r7cg	https://www.bilibili.com/video/BV1iC4y1r7cg	18/5/2026 20:07	25/1/2024 14:28	258	555251	375	10984	http://i2.hdslb.com/bfs/archive/9f90500fde38ca5d7a417ffa72e2e0944a1eb4bd.jpg
???????????	-	????	??	av116463323125836	BV1ewoUBvE6V	https://www.bilibili.com/video/BV1ewoUBvE6V	18/5/2026 20:05	25/4/2026 11:56	299	1596	0	29	http://i1.hdslb.com/bfs/archive/9efe9ed5ea7fdf3650da3fe4bab9beb86a517247.jpg
??????????????|“???? ?????”		?????	??	av1500521261	BV1dS421N74E	https://www.bilibili.com/video/BV1dS421N74E	18/5/2026 19:36	16/2/2024 9:10	270	114032	107	871	http://i0.hdslb.com/bfs/archive/abe04e0a6cd60dc232f8d98bb34675dd933556e4.jpg
????????-?????|“?????????????????”		?????	??	av1151838841	BV1UZ421h7u1	https://www.bilibili.com/video/BV1UZ421h7u1	18/5/2026 18:54	17/3/2024 15:10	192	973619	240	18356	http://i2.hdslb.com/bfs/archive/c8811124413edf69534646ba048a4ee4c159c866.jpg
?????????-???????|“?????????????????????????”		?????	??	av1102192947	BV1fA4m1P7Zq	https://www.bilibili.com/video/BV1fA4m1P7Zq	18/5/2026 17:24	26/3/2024 0:23	175	154318	101	2418	http://i1.hdslb.com/bfs/archive/813423d3f2a3913b5e6003c2e98f03250896f8e8.jpg
????????-???????|“??? ?????? ???????”		?????	??	av1705114829	BV1UT421i76b	https://www.bilibili.com/video/BV1UT421i76b	18/5/2026 14:50	26/5/2024 9:20	210	914628	146	21215	http://i2.hdslb.com/bfs/archive/c5e41a730735a6aeb8f4a718af0d97da6d0abf9a.jpg
“??????????????…”	-	?z?	??	av115785473201267	BV1mfBYBvEBm	https://www.bilibili.com/video/BV1mfBYBvEBm	18/5/2026 1:41	26/12/2025 18:51	198	84577	1	2043	http://i1.hdslb.com/bfs/archive/56e0eb91877453fc4544ab8d6e0ece53028b92e7.jpg
??????????? ???????????????????Hi-res?	"????????????????????????????????????????????50?????????????????????????????????????????????

?????
???Neumann M149 tube Pair
????SSL Duality Delta Pro Station
????PT
???Barefoot MM12
[??]"	JLRS-LeoFM	??	av915792112	BV1au4y1k7Qi	https://www.bilibili.com/video/BV1au4y1k7Qi	18/5/2026 1:39	11/9/2023 18:26	413	873824	1290	9951	http://i0.hdslb.com/bfs/archive/a53065d7138e6e56e26a09c8358d83490593a959.jpg
??????????? Tank??????Hi-res?	"??????Tank?????????Tank???????Tank??????Tank2006?2?24???????Fighting????????

?????
???Neumann M149 tube Pair
????SSL Duality Delta Pro Station
????PT
???Barefoot MM12
[??]"	JLRS-LeoFM	??	av444695387	BV1cj411X7gY	https://www.bilibili.com/video/BV1cj411X7gY	18/5/2026 1:38	13/6/2023 11:07	250	5861121	787	98109	http://i1.hdslb.com/bfs/archive/534fd28846c8922e6220299e4d7d1124ea7f1e97.jpg
?????????-???/???“????? ?????~”	"?????????-???/???“????? ?????~”
?:??
?:???

?????????????????????????????
????????????????????????"	????music	??	av115743815436853	BV1rqq9B7E29	https://www.bilibili.com/video/BV1rqq9B7E29	18/5/2026 1:37	19/12/2025 12:50	202	340483	18	9407	http://i0.hdslb.com/bfs/archive/781356468661a3a1bd182f96241e5e85b7322861.jpg
??????????-???|“??????????????”		?????	??	av112899070624347	BV1ubv9ejEgZ	https://www.bilibili.com/video/BV1ubv9ejEgZ	18/5/2026 1:32	4/8/2024 9:40	252	110342	108	1403	http://i2.hdslb.com/bfs/archive/f063a4885d9511c73ef264ff7d189de460eff7bb.jpg
????????????-???|“?????????? ??????????”		?????	??	av113135713257737	BV1JctKeyE5Q	https://www.bilibili.com/video/BV1JctKeyE5Q	18/5/2026 0:37	14/9/2024 19:43	230	103675	105	491	http://i0.hdslb.com/bfs/archive/ba523e93916778494ca287c0b4976506311a2132.jpg
????????????-?????????|“????????????????????”		?????	??	av113549707838735	BV19Lz5YiE6K	https://www.bilibili.com/video/BV19Lz5YiE6K	18/5/2026 0:10	26/11/2024 22:24	214	59303	27	123	http://i2.hdslb.com/bfs/archive/fa39c221340f90ae91f446cab6eea448b7512230.jpg
?????|4K?????-??/??|“??????? ????????”	"????-??/??
?? : ??Lin
?? : ???
?? : willen

????????“???????????”"	?????	??	av115706049988298	BV11gmEBLETJ	https://www.bilibili.com/video/BV11gmEBLETJ	17/5/2026 2:16	12/12/2025 18:17	258	36400	31	266	http://i2.hdslb.com/bfs/archive/05b4eb72e6b1493a1821af7e3ef89eacd8778766.jpg
???????????????????MV	-	????	??	av116513906367356	BV1MGReByETx	https://www.bilibili.com/video/BV1MGReByETx	15/5/2026 0:18	4/5/2026 10:37	4337	297289	2678	8572	http://i2.hdslb.com/bfs/archive/01e6a99ba76a7fc08989793f662a0a256f94e38e.jpg
?3???????70?????	???????????????	????Histensky	??	av116455068729496	BV15aogBhEqA	https://www.bilibili.com/video/BV15aogBhEqA	28/4/2026 16:11	24/4/2026 9:00	205	1190085	1412	31743	http://i2.hdslb.com/bfs/archive/bc198eb4aa82faf6e962da9f79f68fb41bc0c4c7.jpg
??????????????The Carol of the Old Ones?	"??????
????????????????????????????"	????	??	av817526751	BV1iG4y1t7Zj	https://www.bilibili.com/video/BV1iG4y1t7Zj	19/4/2026 22:59	13/11/2022 12:41	69	2191456	840	53345	http://i2.hdslb.com/bfs/archive/1cb7c26f127ad0edc280190b65fff7d5285a2bd0.jpg
????&????????——??3?????	"??: ??
??: ??
??/??: ??/LTC
??: ??
PV: ??????????
????: ???——??3?????
-???????-??
?????
??????&??
?????
?????
?????
?????
???LTC
?????
PV???????????"	-???-	??	av21170135	BV1ZW411g7F1	https://www.bilibili.com/video/BV1ZW411g7F1	18/4/2026 17:38	24/3/2018 17:58	243	52714	808	2658	http://i1.hdslb.com/bfs/archive/0380c2cc21ff29d50240b3051051f1e144354546.jpg
???x???????——????????&???	"?????????????????????????????????????????????
——???????5.27?????

??/??/???????
??????
????????
?????
?????
?????
???????????????????
      ??????????wxh??????
      ???????????1212
???????
?????????
?????luckylukey
?????????
      ?????????????????"	-???-	??	av53770918	BV164411p7yX	https://www.bilibili.com/video/BV164411p7yX	18/4/2026 17:34	27/5/2019 16:05	258	551741	3983	9272	http://i1.hdslb.com/bfs/archive/cc6bbc86809f565e943a827deb27f634d6f4845b.jpg
??????????-?????“ ?????? ?????? ???”	"?????????????????????????????-??????????????????????????????????????????
????/???:)

?????????"	????	??	av112968511523009	BV1UoeTe2EAZ	https://www.bilibili.com/video/BV1UoeTe2EAZ	18/4/2026 17:33	16/8/2024 7:01	215	303	0	8	http://i1.hdslb.com/bfs/archive/9c77dfaffcfbe3bc2c01b646e6c20e11ad150247.jpg
???JUN????????---????????	"?????
?????JUN
?????JUN
?????JUN
?????JUN
???????JUN
??????JUN
?????
?????
????
?????
?????boy

???????????
???????????
????????????
???????????

????????????
?????????????
????????????
??????????

music

???????????
???????????
????????????
???????????

"	??????JUN	??	av52718591	BV1j441177X5	https://www.bilibili.com/video/BV1j441177X5	18/4/2026 17:29	17/5/2019 14:45	241	680860	4459	28189	http://i2.hdslb.com/bfs/archive/9dd06601f80f0704ca5bbae2ebe46e11a870b0cf.jpg
?HD_MP3|???Tacke???????????????????????????????????????	"??????????????????????????????
??????????????????????????????????????????????????????
??????????????????????????????
?????????????????????????????"	___??___	??	av492643269	BV1SN411W7Jr	https://www.bilibili.com/video/BV1SN411W7Jr	18/4/2026 17:23	28/10/2023 20:37	273	47446	0	182	http://i0.hdslb.com/bfs/archive/05fd66823321ec8cb2113ec59e5cc9f1910423c0.jpg
?????·????·?????????	"?????????????????????????! ????B????????????????~
???????????????????????
???????????????????????????~????!
----------???????--------
????????????B?????????????????????UP????????????????????
staff??&amp;amp;????: ?????????????    http://weibo.com/N9981"	??yousa	??	av13203642	BV1Yx411n7pR	https://www.bilibili.com/video/BV1Yx411n7pR	18/4/2026 17:21	11/8/2017 12:00	212	7791982	61221	316630	http://i1.hdslb.com/bfs/archive/353bc71791f4661a126ac470ca30d7a59ea8ac6e.jpg
???????????|???????????????ol????????		????lly	??	av957767778	BV1ip4y1E7ao	https://www.bilibili.com/video/BV1ip4y1E7ao	18/4/2026 17:19	27/8/2023 22:38	319	24251	7	432	http://i1.hdslb.com/bfs/archive/a2ade48d7d9f1f0a10c42d33f1d1f1deafc2fac1.jpg
??????????????????	"???????????????????~~
??????????????????????????????????????????2333
BGM???????????"	????	??	av5715103	BV1ws411y78Q	https://www.bilibili.com/video/BV1ws411y78Q	18/4/2026 17:19	8/8/2016 19:50	252	39854	523	1489	http://i2.hdslb.com/bfs/archive/82d283e5f8269b295d778a2b78c3447480625b77.jpg
?????????? ????? ????? ???? ???? ?????	"bgm??????
????????
?????????
????????
??????
????"	??z	??	av50051088	BV1Pb41157DD	https://www.bilibili.com/video/BV1Pb41157DD	18/4/2026 17:15	21/4/2019 18:31	274	206226	257	6688	http://i1.hdslb.com/bfs/archive/888a05c75999d6c712bc5146c89ad281cd8b0900.jpg
???????????????4???????	"???????????4???????

??Lyricist???  
??Composer???
??Singer???
???Producer???
??Arranger???
??Flute player???
?????Recording &Mixing Engineer???
???publisher???/???/??
??Produce Company?????·?????????"	???	??	av35456776	BV1Nb411c7r6	https://www.bilibili.com/video/BV1Nb411c7r6	18/4/2026 17:14	7/11/2018 12:00	292	227216	1431	5690	http://i1.hdslb.com/bfs/archive/445d7aa6dd0cd80efe4ce144a95c98191095c99a.jpg
?KBShinya??????iGNB????	"?????? | ??/??/???KBShinya | ??/???PoKeR
???Riyo | ???Mr.?? | ??????
??????????
IGNB???????????????????????????????????????iG??iG?????????????????????????????????iG?????????iG??????????????????S8?????"	KBShinya	??	av35666425	BV1Ct411m7cY	https://www.bilibili.com/video/BV1Ct411m7cY	18/4/2026 17:13	10/11/2018 14:00	235	262486	2278	13576	http://i0.hdslb.com/bfs/archive/8c3556b59b44deb9fe47944371ce680858a1730f.jpg
????/???????? ?????????“????”?	"??????????????~?????(¯?¯)
————
????
??/??????
??????
?????
??/??????_??
????????????
??????
?????"	???	??	av53522301	BV154411s7D9	https://www.bilibili.com/video/BV154411s7D9	18/4/2026 17:12	25/5/2019 12:55	206	228234	1390	7615	http://i2.hdslb.com/bfs/archive/5364f419e0bf19674befd48c7de862ac5901ecaa.jpg
??????????????????????  ?????????...	?????????????????????? ?????????...	????2019	??	av490415667	BV1vN411q7Eb	https://www.bilibili.com/video/BV1vN411q7Eb	16/4/2026 12:55	30/8/2023 16:10	273	202120	169	4007	http://i0.hdslb.com/bfs/archive/4672ab9065706a99378980fc59c406a82ab2f74e.jpg
????????????????“?????????????????????”	bgm???????3????????·????	??????	??	av353278320	BV1hX4y1S7b3	https://www.bilibili.com/video/BV1hX4y1S7b3	27/3/2026 10:41	10/3/2023 20:46	287	27675	0	653	http://i2.hdslb.com/bfs/archive/de11f49dd6a8fe9fc02b6c441466aeaf86802d5e.jpg
?????????ft.???	"???av3443986 
MP3?http://5sing.kugou.com/fc/15320498.html ????? ????? ?????? ?????&amp;??? ???????/?? ?????  ??Noir ?http://noirbox.lofter.com/?"	????	??	av5403066	BV1Zs411y7ty	https://www.bilibili.com/video/BV1Zs411y7ty	27/3/2026 3:12	19/7/2016 20:07	223	336163	1113	8878	http://i2.hdslb.com/bfs/archive/ee993f299c50f4380ac05857e9a021f373a066e5.jpg
?????????-???“??????????? ????????~”	"?????????-???“??????????? ????????~”
??:???
??:??/???
??:???

????????????? ?????????~
????????????????????????"	????music	??	av1551729459	BV1Wy421v7ih	https://www.bilibili.com/video/BV1Wy421v7ih	14/3/2026 4:07	11/3/2024 14:13	233	1035154	190	17810	http://i1.hdslb.com/bfs/archive/fef0804b1ce3595adf28cc96f36f36cd95b5bcbf.jpg
??????????	"???av2982420 ????av2982417  ????????? ????? ????????????????? ????? 

???????????????????????????????????????????????????????????????cosplay~=?=
??????????2333???????~?key?????????????????????????????????
??~7??????????hhhhhhhhhhhhhhhhhh?"	????	??	av5167581	BV16s411v7zh	https://www.bilibili.com/video/BV16s411v7zh	17/2/2026 2:03	2/7/2016 8:41	215	677325	2011	13086	http://i1.hdslb.com/bfs/archive/376ca486062c08bd8ff461db2d29b3905d984f6b.jpg
?????·Ein?????????/PV??	"?????~???????????????????????????????????????????????????
???????????????……?????……?????……pv???……??????????~?~?~?~?~~~~~~?????
???????????
STAFF?
?????av32228824
?????????
?? ???
?? ??
??? ??
???Signal-E
????choco???
PV?Rumia?????

“????????????”
“????????"	????	??	av32155860	BV1pW411r7YT	https://www.bilibili.com/video/BV1pW411r7YT	15/2/2026 23:57	22/9/2018 18:00	260	245666	1093	8705	http://i1.hdslb.com/bfs/archive/a855b78d04c6c66dbebb922592e1fd9253174989.jpg
?????x???????????	"vc???av21077664  ?????av21592405
?????????????
???????????????????????????????????
……?????????????
?????????????????????????????o(???)o???????????O~
?????????????????????????????????????????"	????	??	av37078441	BV1Kt411X7SE	https://www.bilibili.com/video/BV1Kt411X7SE	15/2/2026 23:48	7/12/2018 18:00	222	2633637	4454	68404	http://i0.hdslb.com/bfs/archive/ea0c9d111769ef991aeb9cd3c7f0435ca8bc66c2.jpg
??????????2.14Ver.????2.14????????????	"???av36570568
???????????????????
2.14?????????????????????????????????????????
???????????????????????1.0???????????????????????????
?????????????

??/??/???????
?/???litterzy
??????
???CuTTleFish
??????
????????
???????????&?????????
????????&????&??
??"	????	??	av43739289	BV1Ab411m7Gm	https://www.bilibili.com/video/BV1Ab411m7Gm	15/2/2026 23:45	16/2/2019 18:00	293	326585	1276	8880	http://i1.hdslb.com/bfs/archive/fe79f37e522c6df0b4cb7a9e1b5b02e625324815.jpg
